WaterbodyName,Years,SampleDate,Alkalinity-total (as CaCO3),Ammonia-Total (as N),BOD - 5 days (Total),Chloride,Conductivity @25°C,Dissolved Oxygen,ortho-Phosphate (as P) ,pH,Temperature,Total Hardness (as CaCO3),True Colour,CCME WQI Value
AVONMORE_040,2008,May,13,0,0.7,9.7,343,56.4,0.002,6.71,12.3,15,50,72.36228321
AVONMORE_040,2008,Aug,9,0.023,1,7.33,343,57.2,0.011,6.5,14.3,13,120,67.4695933
AVONMORE_040,2008,Sep,9,0.005,1.1,7.8,343,56,0.008,6.34,15.5,16,175,64.77051631
Ballinhassig East,2010,Jul,202,0.153,1.3,30,534,14,0.067,7.5,10.3,236,10,73.05337784
Ballinhassig East,2010,Oct,65,0.053,1.3,18,224,82,0.031,7.5,9.5,85,42,65.37421927
Ballinhassig East,2011,Apr,144,3.996,1.3,16,423,15,0.201,6.4,8.9,180,216,50.63529812
Ballinhassig East,2011,Oct,70,4.747,1.3,12,227,0,0.576,6.3,11,70,8,56.73304146
Ballinhassig East,2011,Oct,102,0.267,1.3,13,298,0,0.15,6.2,12.6,90,65,73.4759806
Ballinhassig East,2011,Oct,62,0.267,1.3,18,234,41.5,0.028,7.4,12.9,82,18,74.65336622
Ballinhassig East,2011,Dec,220,0.028,1.3,29,602,8.9,0.031,7.3,10.3,208,6,75.99532491
Ballinhassig East,2011,Dec,60,0.067,1.3,16,251,47,0.071,7.1,7.7,79,14,74.0605714
Ballinhassig East,2012,Feb,65,0.027,1.3,20,252,46.85,0.021,6.6,9.1,97,5,77.71861185
Ballinhassig East,2012,Feb,50,0.164,1.3,13,169,0.7,0.112,6.1,9.7,58,31,79.68205127
Ballinhassig East,2012,Feb,160,4.211,1.3,20,368,0.1,0.279,6.3,7.6,160,33,57.89102271
Ballinhassig East,2012,Feb,51,0.071,1.3,17,224,49.8,0.043,7.3,7.7,90,32,70.73223587
Ballinhassig East,2012,Jun,230,0.027,1.3,31,591,7.25,0.015,7.3,10.4,270,11,81.95544299
Ballinhassig East,2012,Jun,50,0.254,1.3,13,227,0.2,0.532,6.3,10.1,78,7,62.22232852
Ballinhassig East,2012,Jun,166,0.053,1.3,14,368,0.1,0.028,6.9,10.2,166,10,88.16239732
Ballinhassig East,2012,Jun,46,0.106,1.3,16,232,44.9,0.042,7.2,11.5,86,43,70.88822569
Ballinhassig East,2012,Aug,218,0.029,1.3,30,553,21,0.027,7.4,13,220,14,74.07834145
Ballinhassig East,2012,Aug,65,0.186,1.3,13,230,0.2,0.24,6.2,11.5,95,14,73.93495068
Ballinhassig East,2012,Aug,124,2.913,1.3,17,337,0.4,0.4,6.3,13.7,132,349,52.38325703
Ballinhassig East,2012,Aug,60,0.092,1.3,13,218,36.85,0.227,6.9,14.9,82,151,59.27633491
Ballinhassig East,2013,Jan,56,0.202,1.3,14,187,0.3,0.036,6.6,9.8,73,8,93.38519527
Ballinhassig East,2013,Jan,106,2.983,1.3,17,279,0.2,0.228,6.2,6.9,110,23,64.66212224
Ballinhassig East,2013,Jan,40,0.083,1.3,11,118,46.45,0.149,7.1,7.6,47,63,64.280966
Ballinhassig East,2013,Apr,81,0.277,1.3,15,276,0.2,0.259,6.5,8.9,73,7,72.78001597
Ballinhassig East,2013,Apr,111,2.503,1.3,20,292,0.3,0.271,6.7,5.2,90,166,58.31185739
Ballinhassig East,2013,Apr,54,0.038,1.3,17,217,51.25,0.019,7.7,5.3,80,12,78.96197261
Ballinhassig East,2013,Oct,280,1.588,1.3,28,600,0.2,0.086,7.1,11.3,260,14,70.21594815
Ballinhassig East,2013,Oct,250,0.035,1.3,21,585,0.2,0.017,7.4,11.1,222,7,87.98959723
Ballinhassig East,2013,Oct,83,0.178,1.3,15,237,0.3,0.216,6.3,10.7,98,8,75.52111108
Ballinhassig East,2013,Oct,58,3.873,1.3,17,345,6.65,0.083,6.1,12.4,122,12,70.24818268
Ballinhassig East,2014,Jun,13,0.032,1.3,15,105,46.2,0.013,5.9,10.1,24,8,80.42330764
Ballinhassig East,2014,Jul,146,3.4,1.3,20,377,0.5,0.22,6.2,12.1,85,332,54.62424362
Ballinhassig East,2014,Sep,248,0.02,1.3,26,541,0.1,0.014,7.2,13.2,228,11,87.96253766
Ballinhassig East,2014,Sep,254,0.024,1.3,21,588,0.2,0.022,7.6,11.7,192,17,76.47110038
Ballinhassig East,2014,Sep,64,0.022,1.3,18,211,51.2,0.04,7.7,9.8,75,200,61.26887934
Ballinhassig East,2014,Dec,242,0.13,1.3,25,551,0.6,0.01,7.2,10.9,228,7,87.98959723
Ballinhassig East,2014,Dec,41,0.023,1.3,19,221,51.85,0.013,7.3,9.2,78,15,78.79532953
Ballinhassig East,2015,Apr,96,2,1.3,26,301,6.7,0.037,6.3,9.3,132,55,70.18756583
Ballinhassig East,2015,Jun,74,0.27,1.3,26,249,5,0.21,6.5,10.4,148,14,75.94197075
Ballinhassig East,2015,Jun,149,3.9,1.3,26,356,6.1,0.05,6.3,11.7,190,580,46.9461013
Ballinhassig East,2015,Jun,52,0.04,1.3,20,310,51.85,0.033,7.4,14.2,83,19,71.96520659
Ballinhassig East,2015,Oct,214,0.036,1.3,27,531,3.35,0.029,7.3,11.8,245,7,81.95973701
